MålepunktsID,Fra,Til,Navn,Volum,Enhet,Kvalitet,Opprettet
1,2019-04-27T19:00+02:00[Europe/Oslo],2019-04-27T20:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,283",KWH,PPC,2019-04-29T08:59:13+02:00[Europe/Oslo]
1,2019-04-27T19:00+02:00[Europe/Oslo],2019-04-27T20:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,186",KWH,PPC,2019-04-28T07:23:55+02:00[Europe/Oslo]
1,2019-04-27T20:00+02:00[Europe/Oslo],2019-04-27T21:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,211",KWH,FPPC,2019-05-02T10:22:49+02:00[Europe/Oslo]
1,2019-04-27T20:00+02:00[Europe/Oslo],2019-04-27T21:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,229",KWH,PPC,2019-04-29T08:59:13+02:00[Europe/Oslo]
1,2019-04-27T20:00+02:00[Europe/Oslo],2019-04-27T21:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,386",KWH,PPC,2019-04-28T07:23:55+02:00[Europe/Oslo]
1,2019-04-27T21:00+02:00[Europe/Oslo],2019-04-27T22:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,274",KWH,FPPC,2019-05-02T10:22:49+02:00[Europe/Oslo]
1,2019-04-27T21:00+02:00[Europe/Oslo],2019-04-27T22:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-29T08:59:13+02:00[Europe/Oslo]
1,2019-04-27T21:00+02:00[Europe/Oslo],2019-04-27T22:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,695",KWH,PPC,2019-04-28T07:23:55+02:00[Europe/Oslo]
1,2019-04-27T22:00+02:00[Europe/Oslo],2019-04-27T23:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,221",KWH,FPPC,2019-05-02T10:22:49+02:00[Europe/Oslo]
1,2019-04-27T22:00+02:00[Europe/Oslo],2019-04-27T23:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-29T08:59:13+02:00[Europe/Oslo]
